barcode,description,external_id,name,kcal,protein,carbs,fat,fiber,sugar,sodium,magnesium,vitamin_c,vitamin_d
6681302,"Lettuce, leaf, green, raw",1703909,Spring Mix a Medley of Baby Lettuces & Greens,20,0.83,4.17,0,0.8,0,100,0,0,0
4656700201,"Corn, sweet, yellow and white kernels,  fresh, raw",2122593,Corn,54.4,0.8,12.8,0,0.8,0,240,0,0,0
4656701922,"Oats, whole grain, steel cut",2679290,Quick Oats,386.25,12.5,70,6.25,10,0,0,0,0,0
4656702273,"Tomatoes, canned, red, ripe, diced",2543214,Tomatoes,17.56,0.88,3.51,0,0.9,0,18,0,5.3,0
7203671385,"Bananas, overripe, raw",2447532,"Banana Ice Pops, Banana",83.2,0,20.8,0,0,0,0,0,28.3,0
7203676317,"Mahi mahi, frozen, wild caught",2448098,"Wild Caught Skinless, Boneless Mahi Mahi Fillets",85.31,20,0,0.59,0,0,165,0,0,0
7203676435,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",2447559,"Grape Juice, Grape",63.2,0,15.8,0,0,0,12,0,25,0
7789013034,"Oranges, raw, navels",2406586,"Orange Juice, Orange",50.12,0.83,11.7,0,0,0,6,0,30,0
7789020629,"Radishes, red, raw",2410361,Radishes,18.84,1.18,3.53,0,1.2,0,41,0,0,0
7789039115,"Sweet potatoes, orange flesh, without skin, raw",2445907,Petite Sweet Potatoes,76.48,1.82,17.3,0,1.8,0,64,0,0,0
7789095277,"Squash, winter, acorn, raw",2134133,Acorn Squash,47.12,1.18,10.6,0,1.2,0,0,0,0,0
11110503244,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",2062204,Milk,42.68,3.33,5,1.04,0,0,50,0,1,42
11110847423,"Buttermilk, low fat",2062212,Buttermilk,49.82,3.75,5.42,1.46,0,0,121,0,1,0
11433158725,"Flour, wheat, all-purpose, enriched, bleached",2071280,Bhakri Flour,376.33,10.9,78.3,2.17,2.2,0,22,0,0,0
13951666010,"Chicken, breast, boneless, skinless, raw",2667585,Chicken,101.71,21.4,0,1.79,0,0,179,0,0,0
15418012248,"Mushroom, king oyster",2495161,"Mushroom Pasta Sauce, Mushroom",48.03,1.57,8.66,0.79,2.4,0,346,0,0,0
17992591102,"Cabbage, red, raw",2406124,"Diced Cabbage & Carrots Southern Slaw, Diced Cabbage & Carrots",31.6,1.32,6.58,0,2.6,0,26,0,32.9,0
17992591300,"Cabbage, green, raw",2406125,"Diced Cabbage, Peppers & Onions Southern Slaw, Diced Cabbage, Peppers & Onions",30.76,1.28,6.41,0,2.6,0,19,0,41,0
18894921301,"Mushroom, oyster",2476441,"Mushroom Stems & Pieces, Mushroom",34.18,2.31,5.38,0.38,2.3,0,354,0,0,8
