npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:8081
 HTTP  3/26/2026 5:47:15 PM ::1 GET /musclog-app/
 HTTP  3/26/2026 5:47:15 PM ::1 Returned 200 in 28 ms
 HTTP  3/26/2026 5:47:15 PM ::1 GET /musclog-app/_expo/static/css/web-a4cdfe846dabbd3a2e5c3ade88dc905e.css
 HTTP  3/26/2026 5:47:15 PM ::1 GET /musclog-app/_expo/static/js/web/index-a29a9012a3d10459f281bed247ef87d6.js
 HTTP  3/26/2026 5:47:15 PM ::1 Returned 200 in 3 ms
 HTTP  3/26/2026 5:47:15 PM ::1 Returned 200 in 2 ms
 HTTP  3/26/2026 5:47:16 PM ::1 GET /musclog-app/
 HTTP  3/26/2026 5:47:16 PM ::1 Returned 304 in 2 ms
 HTTP  3/26/2026 5:47:16 PM ::1 GET /musclog-app/_expo/static/css/web-a4cdfe846dabbd3a2e5c3ade88dc905e.css
 HTTP  3/26/2026 5:47:16 PM ::1 GET /musclog-app/_expo/static/js/web/index-a29a9012a3d10459f281bed247ef87d6.js
 HTTP  3/26/2026 5:47:16 PM ::1 Returned 304 in 2 ms
 HTTP  3/26/2026 5:47:16 PM ::1 Returned 304 in 2 ms
 HTTP  3/26/2026 5:47:18 PM ::1 GET /musclog-app/nutrition/food
 HTTP  3/26/2026 5:47:18 PM ::1 Returned 200 in 1 ms
 HTTP  3/26/2026 5:47:18 PM ::1 GET /musclog-app/_expo/static/css/web-a4cdfe846dabbd3a2e5c3ade88dc905e.css
 HTTP  3/26/2026 5:47:18 PM ::1 GET /musclog-app/_expo/static/js/web/index-a29a9012a3d10459f281bed247ef87d6.js
 HTTP  3/26/2026 5:47:18 PM ::1 Returned 304 in 2 ms
 HTTP  3/26/2026 5:47:18 PM ::1 Returned 304 in 2 ms
 HTTP  3/26/2026 5:48:06 PM ::1 GET /musclog-app/nutrition/food
 HTTP  3/26/2026 5:48:06 PM ::1 Returned 200 in 2 ms
 HTTP  3/26/2026 5:48:06 PM ::1 GET /musclog-app/_expo/static/css/web-a4cdfe846dabbd3a2e5c3ade88dc905e.css
 HTTP  3/26/2026 5:48:06 PM ::1 Returned 200 in 2 ms
 HTTP  3/26/2026 5:48:06 PM ::1 GET /musclog-app/_expo/static/js/web/index-a29a9012a3d10459f281bed247ef87d6.js
 HTTP  3/26/2026 5:48:06 PM ::1 Returned 200 in 1 ms
 HTTP  3/26/2026 5:48:06 PM ::1 GET /musclog-app/nutrition/food
 HTTP  3/26/2026 5:48:06 PM ::1 Returned 304 in 1 ms
 HTTP  3/26/2026 5:48:06 PM ::1 GET /musclog-app/_expo/static/css/web-a4cdfe846dabbd3a2e5c3ade88dc905e.css
 HTTP  3/26/2026 5:48:06 PM ::1 GET /musclog-app/_expo/static/js/web/index-a29a9012a3d10459f281bed247ef87d6.js
 HTTP  3/26/2026 5:48:06 PM ::1 Returned 304 in 1 ms
 HTTP  3/26/2026 5:48:06 PM ::1 Returned 304 in 2 ms
